BUS_CD,COIL_NO,LOT_NO,BASIC_COIL_NO,HOTCOI_NO,MOTCOI_NO,TRK_NO,EMG_CD,AFTEMG_CD,PKG_NO,MRGCOI_NO,PVSSTS_CD,PRVPRC_CD,PNSSTS_CD,PNSPRC_CD,AFTPRC_CD,BASPRC_CD,LASWRK_DT,LASPRC_CD,RSTPNT_ODN,RSTPRC_REM,AFTPRC_REM,PLNPRC_ID,CHGPRC_CD,DUM_YN,PRVLOT_NO,PRVCOI_NO,USGCHG_YN,USGCHG_CNT,USGCHG_DT,THK_LEN,WDT_LEN,LEN_LEN,WGT_WGT,IND_CD,OUD_LEN,GRD_CD,PURCOM_ID,RAWDIV_WGT,RAWSPC_ID,RAWSTL_CD,RAWTHK_LEN,RAWWDT_LEN,RAWLEN_LEN,RAW_WGT,SPC_NO,SALBRN_CD,CUS_ID,USR_ID,ORD_CD,PRDSPC_ID,PRD_CD,PRDKND_CD,STL_CD,STLDTL_CD,ORD_NO,ORD_SEQ,ORDTHK_LEN,ORDWDT_LEN,ORD_WGT,USG_CD,DLV_YMD,PKGMTH_CD,PKGMTH_YN,WGTDCS_CLS,NAXWGT_YN,PPL_TRK,FIRCRT_YMD,RSTHMAX_VAL,RSTHMIN_VAL,RSTCMAX_VAL,RSTCMIN_VAL,DIV_CD,SKP_QTY,MRG_CLS,PRCSPL_REM,CRMPLN_ODN,CRMRST_ODN,ANNPLN_ODN,ANNRST_ODN,WRKTRM_YMD,ENT_DT,ENTCHR_NO,OUT_DT,OUTCHR_ID,BRI_DT,BRICHR_ID,BRIRSN_CD,RET_DT,RETCHR_NO,RETRSN_CD,RET_WGT,SAMPCK_YN,PRDRESE_CD,PRDRESE_YMD,PRDRESE_NO,RESEND_YMD,RESENDCHR_NO,COIEND_CD,END_YN,RESCH_COM_YN,TWLINP_YN,SAMPLEORDER_NO,WRK_CD,INP_WGT,CRT_DT,CRTCHR_NO,UPD_DT,UPDCHR_NO,COILEND_DT,SEMIPKG_YN,SEMIPKG_CD,PKG_CD,LEV2SE_YN,ZON_CD
1173DK,22A13B70111,2022A13B70,22A13B70111,HBZ051210,,,1282N,1282N,,,,,1243S,AN11,CR11,AN11,,,,,CR11AN12CR12AN13SP11SS21PK31PR11,AN11015,,,2022A13A70,22A13A701111A,Y,2,2022-03-08 13:35,0.788,332,970,1992,1260508,1109,1004A,0101,2037,JS-SK85-M,10023,2,1000,1212.7,19030,407940790261,104812,4079,4079,1046D,SK5M-S,1047P,1001CR,10023,128505,KD22020283,3,0.4,400,10000,S00F99,20220331,1056A04,,S0091,,,20220122,,,,,,,,,3,,3,,20220304,,,,,,,,,,,0,,,,,,,,N,,,,1065A,0,2022-03-08 13:35,성환문,,,,,,1055A,E,1510P
1173DK,22B12A701111A,2022B12A70,22B12A70111,HBA107550,22B12A70111,01,1282N,1282N,,,1243S,WS31,1243S,AN10,CR31,AN10,2022-08-30 21:20,WS31,2,RW31WS31,CR31SS41PK81PR11,PP21526,WS41,,2022B12170,22B121701121B,Y,1,2022-08-25 8:56,1.8,647,530.3,4848,1260610,1260,1004A,0101,5158,SAE1035-M,10022,4,1181,552,20460,627557140098,1048A2,6275,5714,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22060100,1,0.8,316.3,30000,S00A12,20220802,1056B07,,S0091,,,20220814,,,,,1073S,,,,1,,1,,20220802,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-08-30 20:59,이정복,2022-08-30 20:55,이정복,,,,1055A,L,1510P
1173DK,22B12A702111A,2022B12A70,22B12A70211,HBA107550,22B12A70111,02,1282N,1282N,,,1243S,WS31,1243A,AN10,CR31,AN10,2022-08-30 21:20,WS31,3,RW31WS31,CR31SS41PK81PR11,PP21526,WS41,,2022B12170,22B121701121B,Y,1,2022-08-25 8:56,1.8,529,530.3,3964,1260610,1260,1004A,0101,4218,SAE1035-M,10022,4,1181,552,20460,570157010007,1048A2,5701,5701,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22080070,1,0.8,257,35000,S00A12,20221115,1056B03,,S0091,,,20220814,,,,,1073E,,,,1,,1,,20221119,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-08-30 20:59,이정복,2022-09-05 15:46,AUTO,,,,1055A,L,1510P
1173DK,22B12E201111A,2022B12E20,22B12E20111,HBR057060,22B12E20111,01,1282N,1282N,,,1243S,WS31,1243S,AN10,CR11,AN10,2022-09-13 16:50,WS31,1,WS31,CR11SS22PK31PR11,SS41008,SS41,,2022B12220,22B122202131A1A,Y,1,2022-09-13 10:56,1.9,282,581.1,2421,1260508,1285,1004A,0101,2893,SAE1035-M,10022,4,1165,618.7,22620,570157010007,1048A2,5701,5701,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22070056,1,0.8,257,10000,S00A12,20221001,1056B03,,S0091,,,20220314,,,,,1073E,,,,1,,1,,20220922,,,,,,,,2022-09-08 19:10,최정훈,10433,0,,,,,,,,N,N,,,1065A,0,2022-09-13 16:34,이정복,2022-09-13 15:45,이정복,,,,1055A,E,1510P
1173DK,22C12060111,2022C12060,22C12060111,HBY140950,22C12060111,01,1282N,1282N,,,1243S,PP21,1243A,AN10,CR21,AN10,2022-09-04 8:57,PP21,2,PP21,CR21WS21PK11PR11,PP21702,,N,,,,,,2,1138,1159.1,20710,1260610,1823,1004A,0101,20710,SAE1035-M,10022,2,1138,1159.1,20710,592558835893,1048A2,5925,5883,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22030026,1,0.8,189,20000,S00A12,20220515,1056B02,,S0091,,,20220904,,,,,,,,"권취상태양호 / TOP~100M 상,하면 CENTER부 S-MARK 발견(촉감 有/원소재결함:小)",1,,1,,20220510,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-03-07 11:19,성환문,2022-09-04 9:25,김백수,,,,1055A,L,1510P
1173DK,22C12060112,2022C12060,22C12060112,HBY140940,22C12060112,01,1282N,1282N,,,1243S,PP21,1243A,AN10,CR21,AN10,2022-09-04 7:43,PP21,2,PP21,CR21WS21PK11PR11,PP21702,,N,,,,,,2,1138,1169.8,20900,1260610,1830,1004A,0101,20900,SAE1035-M,10022,2,1138,1169.8,20900,592558835893,1048A2,5925,5883,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22030026,1,0.8,189,20000,S00A12,20220515,1056B02,,S0091,,,20220904,,,,,,,,권취상태양호 / TOP~END 상하부 CENTER부 R-MARK 발견 / 적SCALE(곰보형SCALE 동반)및 모래형SCALE 발견(촉감有/원소재결함:小) ,1,,1,,20220510,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-03-07 11:19,성환문,2022-09-05 14:38,김백수,,,,1055A,L,1510P
1173DK,22C12E671111A,2022C12E67,22C12E67111,HBC110330,22C12E67111,01,1282N,1282N,,,1243S,SS31,1243S,AN11,CR31,AN11,2022-09-03 18:00,SS31,1,SS31,CR31SS42PK81PR11,SS31157,,,2022C12367,22C123671121A,Y,1,2022-08-31 10:44,2.1,330,368.4,2004,1260610,1165,1004A,0101,2212,SAE1035-M,10022,4.5,995,558.8,19630,627557140098,1048A2,6275,5714,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22070042,1,0.8,316.3,20000,S00A12,20220916,1056B07,,S0091,,,20220820,,,,,1073E,,,ANN행도유제거및내경확대,1,,1,,20220916,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-09-03 19:41,최현길,2022-09-03 5:54,서상주,,,,1055A,L,1510P
1173DK,22C12G671111A,2022C12G67,22C12G67111,HBC110370A,22C12G67111,01,1282N,1282N,,,1243S,SS11,1243S,AN11,CR11,AN11,2022-09-13 21:40,SS11,1,SS11,CR11SS22PK31PR11,SS11025,,,2022C12367,22C123671131A,Y,1,2022-09-02 9:01,2.1,330,331.6,1804,1260508,1070,1004A,0101,2102,SAE1035-M,10022,4.5,995,559.9,19670,627557140098,1048A2,6275,5714,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22070042,1,0.8,316.3,20000,S00A12,20220916,1056B07,,S0091,,,20220820,,,,,1073E,,,,1,,1,,20220907,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-09-13 22:11,임현성,2022-09-02 13:06,문희명,,,,1055A,E,1510P
1173DK,22C12G671121A,2022C12G67,22C12G67112,HBC110370A,22C12G67112,01,1282N,1282N,,,1243S,SS11,1243S,AN11,CR11,AN11,2022-09-13 22:20,SS11,1,SS11,CR11SS22PK31PR11,SS11025,,,2022C12367,22C123671132A,Y,1,2022-09-02 9:01,2.1,330,327.6,1782,1260508,1065,1004A,0101,2103,SAE1035-M,10022,4.5,995,559.9,19670,627557140098,1048A2,6275,5714,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22070042,1,0.8,316.3,20000,S00A12,20220916,1056B07,,S0091,,,20220820,,,,,1073E,,,,1,,1,,20220907,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-09-13 22:14,임현성,2022-09-02 13:06,문희명,,,,1055A,E,1510P
1173DK,22C12G671131A,2022C12G67,22C12G67113,HBC110370A,22C12G67113,01,1282N,1282N,,,1243S,SS11,1243S,AN11,CR11,AN11,2022-09-13 23:00,SS11,1,SS11,CR11SS22PK31PR11,SS11025,,,2022C12367,22C123671133A,Y,1,2022-09-02 9:01,2.1,330,331.6,1804,1260508,1070,1004A,0101,2102,SAE1035-M,10022,4.5,995,559.9,19670,627557140098,1048A2,6275,5714,1046E,S35CM-R,1047P,1001CR,10022,128508,KE22070042,1,0.8,316.3,20000,S00A12,20220916,1056B07,,S0091,,,20220820,,,,,1073E,,,,1,,1,,20220907,,,,,,,,,,,0,,,,,,,,N,N,,,1065A,0,2022-09-13 22:25,임현성,2022-09-02 13:06,문희명,,,,1055A,E,1510P
