,COIL_NO,PRDSPC_ID,PNSPRC_CD,cycle,WDT_LEN,WGT_WGT,IND_CD,OUD_LEN,STL_CD,EMG_CD,고객사
0,09KA1B77311,SCP1-H-B,AN11,620,309.0,4.811,508,1668,10021,1282N,NaN
1,21M12D061111A,50CRV4M-S,AN10,750,248.0,2.091,508,1275,10022,1282S,유신정밀공업(주) / (주)화진금속
2,22A122851111A,S55CM-R,AN10,725,410.0,5.121,508,1511,10022,1282N,NaN
3,22A122852111A,S55CM-R,AN10,725,410.0,5.121,508,1511,10022,1282N,NaN
4,22A122853111A,S55CM-R,AN10,725,210.0,2.623,508,1511,10022,1282N,NaN
5,22A13B70111,SK5M-S,AN11,725,332.0,1.992,508,1109,10023,1282N,(주)화진금속
6,22B12A701111A,S35CM-R,AN10,725,647.0,4.848,610,1260,10022,1282N,NaN
7,22B12A702111A,S35CM-R,AN10,725,529.0,3.964,610,1260,10022,1282N,NaN
8,22B12E201111A,S35CM-R,AN10,725,282.0,2.421,508,1285,10022,1282N,NaN
9,22C12060111,S35CM-R,AN10,725,1138.0,20.71,610,1823,10022,1282N,NaN
10,22C12060112,S35CM-R,AN10,725,1138.0,20.9,610,1830,10022,1282N,NaN
11,22C12E671111A,S35CM-R,AN11,700,330.0,2.004,610,1165,10022,1282N,NaN
12,22C12G671111A,S35CM-R,AN11,700,330.0,1.804,508,1070,10022,1282N,NaN
13,22C12G671121A,S35CM-R,AN11,700,330.0,1.782,508,1065,10022,1282N,NaN
14,22C12G671131A,S35CM-R,AN11,700,330.0,1.804,508,1070,10022,1282N,NaN
15,22C13B65111,SK5M-S,AN12,725,421.0,2.987,508,1187,10023,1282N,(주)화진금속
16,22C13B73112,SK5M-S,AN12,725,176.1,1.457,508,1265,10023,1282N,(주)화진금속
17,22C13C62111,SK5M-S,AN12,725,172.0,1.518,508,1300,10023,1282N,(주)화진금속
18,22D12E321121A,S55CM-S,AN10,725(표준),254.0,1.388,508,1070,10022,1282N,(주)정민스틸
19,22E11E19111,S20CM-R,AN11,620,193.2,1.555,508,1250,10021,1282N,NaN
20,22E11F261111A,SCP1-S-B,AN12,620,239.0,1.849,508,1230,10021,1282N,NaN
21,22E12266111,S35CM-R,AN10,725,1138.0,21.22,610,1843,10022,1282N,NaN
22,22E12266112,S35CM-R,AN10,725,1138.0,21.37,610,1849,10022,1282N,NaN
23,22E12266113,S35CM-R,AN10,725,1138.0,19.56,610,1778,10022,1282N,NaN
24,22E12D64111,50CRV4M-R,AN12,700,212.0,1.837,508,1290,10022,1282N,NaN
25,22F11B24111,DK800,AN11,작업지시서 소둔 Cycle 적용,380.0,2.204,508,1095,10021,1282N,한국보그워너티에스
26,22F120101111A,SAE1070M-R,AN11,700,590.0,11.307,610,1866,10022,1282S,NaN
27,22F120102111A,SAE1070M-R,AN11,700,590.0,11.307,610,1866,10022,1282S,NaN
28,22F12185111,S35CM-R,AN10,725,1022.0,15.69,610,1692,10022,1282N,NaN
29,22F12188111,S55CM-R,AN10,725,1236.0,17.67,610,1640,10022,1282N,NaN
30,22F122041111A,S45C-PA,AN10,725,616.0,12.335,610,1903,10022,1282S,NaN
31,22F122042111A,S45C-PA,AN10,725,616.0,12.335,610,1903,10022,1282S,NaN
32,22F12264111,SAE1552M-R,AN10,725,1058.0,20.44,610,1872,10022,1282N,NaN
33,22F12264112,SAE1552M-R,AN10,725,1058.0,20.22,610,1863,10022,1282N,NaN
34,22F12B40111,50CRV4M-R,AN12,700,179.0,1.603,508,1308,10022,1282N,NaN
35,22F12B52111,50CRV4M-R,AN12,700,201.0,1.435,508,1190,10022,1282N,NaN
36,22F12B941111A,16MNCR5M-S,AN11,700,163.0,1.478,508,1315,10022,1282N,NaN
37,22F12B941111B,16MNCR5M-S,AN11,700,163.0,1.491,508,1320,10022,1282N,NaN
38,22F12D42111,50CRV4M-R,AN12,700,212.0,1.76,508,1266,10022,1282N,NaN
39,22F12G65111,SAE1055M-R,AN11,700,277.0,1.72,508,1125,10022,1282N,NaN
40,22F12H421111A,CK75M2,AN11,700,150.0,1.07,508,1190,10022,1282N,NaN
41,22F12H421121A,CK75M2,AN11,700,150.0,1.104,508,1205,10022,1282N,NaN
42,22F12T391111A,CK75M2,AN11,700,400.0,2.739,508,1170,10022,1282N,NaN
43,22F12T391121A,CK75M2,AN11,700,400.0,2.625,508,1150,10022,1282N,NaN
44,22F13047111,SK85,AN11,700(표준),1065.0,20.94,610,1887,10023,1282N,HANWA CO / .LTD
45,22F13051112,SK85,AN11,700(표준),1165.0,20.97,610,1814,10023,1282N,HANWA CO / .LTD
46,22F130591111A,SK5M-S,AN11,725,400.0,5.134,610,1566,10023,1282N,(주)화진금속
47,22F130592111A,SK5M-S,AN11,725,490.0,6.29,610,1566,10023,1282N,(주)화진금속
48,22F130593111A,SK5M-S,AN11,725,324.0,4.159,610,1566,10023,1282N,(주)화진금속
49,22F13A581111A,SK85M-S,AN11,735,175.0,1.489,508,1280,10023,1282N,NaN
50,22F13A581121A,SK85M-S,AN11,735,175.0,1.503,508,1285,10023,1282N,NaN
51,22F13A581131A,SK85M-S,AN11,735,175.0,1.54,508,1310,10023,1282N,NaN
52,22F13B581111A,SK85M-S,AN11,735,175.0,1.489,508,1280,10023,1282N,NaN
53,22G11A03111,S20CM-S,AN11,620,154.0,1.414,508,1322,10021,1282N,NaN
54,22G11A03112,S20CM-S,AN11,620,154.0,1.447,508,1335,10021,1282N,NaN
55,22G11B711111A,DK800,AN11,작업지시서 소둔 Cycle 적용,1180.0,24.02,610,1917,10021,1282N,한국보그워너티에스
56,22G11L69111,S15CM-S,AN11,620,171.0,1.304,508,1223,10021,1282N,NaN
57,22G12096111,S70CM-AD,AN12,700,1190.0,20.6,610,1783,10022,1282N,NaN
58,22G12107111,SAE1074M-R,AN10,700,1236.0,15.8,610,1564,10022,1282N,JMI
59,22G12128112,16MNCR5M2,AN11,700,1117.0,23.0,610,1927,10022,1282Y,NaN
60,22G121681111A,SAE1552M-R,AN10,725,351.0,2.353,508,1160,10022,1282N,NaN
61,22G121681111B,SAE1552M-R,AN11,700,351.0,4.086,508,1465,10022,1282N,NaN
62,22G121682111A,SAE1552M-R,AN11,700,351.0,2.353,508,1160,10022,1282N,NaN
63,22G121682111B,SAE1552M-R,AN11,700,351.0,4.278,508,1495,10022,1282N,NaN
64,22G121683111A,SAE1552M-R,AN11,700,351.0,2.353,508,1160,10022,1282N,NaN
65,22G121683111B,SAE1552M-R,AN11,700,351.0,4.278,508,1495,10022,1282N,NaN
66,22G121691111A,SAE1552M-R,AN11,700,329.0,3.091,508,1335,10022,1282N,NaN
67,22G121691111B,SAE1552M-R,AN11,700,329.0,3.091,508,1335,10022,1282N,NaN
68,22G121692111A,SAE1552M-R,AN11,700,361.0,3.392,508,1335,10022,1282N,NaN
69,22G121692111B,SAE1552M-R,AN11,700,361.0,3.392,508,1335,10022,1282N,NaN
70,22G121693111A,SAE1552M-R,AN11,700,361.0,3.392,508,1335,10022,1282N,NaN
71,22G121693111B,SAE1552M-R,AN11,700,361.0,3.392,508,1335,10022,1282N,NaN
72,22G122021111A,S45CM-R,AN11,620,345.0,4.618,508,1558,10022,1282N,한국보그워너티에스
73,22G122021121A,S45CM-R,AN11,620,345.0,5.149,508,1637,10022,1282N,한국보그워너티에스
74,22G122022111A,S45CM-R,AN11,620,345.0,4.618,508,1558,10022,1282N,한국보그워너티에스
75,22G122022121A,S45CM-R,AN11,620,345.0,5.149,508,1637,10022,1282N,한국보그워너티에스
76,22G122023111A,S45CM-R,AN11,620,345.0,4.618,508,1558,10022,1282N,한국보그워너티에스
77,22G122023121A,S45CM-R,AN11,620,345.0,5.149,508,1637,10022,1282N,한국보그워너티에스
78,22G12207111,S50CM-S,AN11,700,1219.0,22.1,610,1820,10022,1282N,NaN
79,22G12224111,CK75M3,AN11,700,1182.0,22.74,610,1869,10022,1282Y,NaN
80,22G12224112,CK75M3,AN11,700,1182.0,22.66,610,1866,10022,1282Y,NaN
81,22G12224113,CK75M3,AN12,700,1182.0,22.76,610,1869,10022,1282Y,NaN
82,22G122251111A,CK75M3,AN12,700,357.0,2.654,508,1210,10022,1282N,NaN
83,22G122252111B,CK75M3,AN12,700,444.0,3.468,508,1235,10022,1282N,NaN
84,22G122253111A,CK75M3,AN12,700,309.0,2.437,508,1240,10022,1282N,NaN
85,22G122253111B,CK75M3,AN12,700,309.0,2.343,508,1220,10022,1282N,NaN
86,22G122301111A,S45CM-S,AN11,700,276.0,2.616,508,1340,10022,1282N,NaN
87,22G122301111B,S45CM-S,AN11,700,276.0,2.638,508,1345,10022,1282N,NaN
88,22G122304111B,SAE1045M-S,AN10,725,322.0,3.078,508,1345,10022,1282N,NaN
89,22G12242111,50CRV4M-S,AN11,750,1330.0,24.07,610,1819,10022,1282Y,유신정밀공업(주) / (주)화진금속
90,22G122443111A1A,50CRV4M-R,AN11,700,242.0,2.234,508,1325,10022,1282N,NaN
91,22G122483111A1A,50CRV4M-R,AN11,700,244.0,2.373,508,1355,10022,1282N,NaN
92,22G122483111A1B,50CRV4M-R,AN11,700,244.0,2.232,508,1320,10022,1282N,NaN
93,22G12251111,C80M,AN10,735,1013.0,18.58,610,1829,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
94,22G12A05111,50CRV4M-R,AN11,700,230.0,1.412,508,1119,10022,1282N,NaN
95,22G12A20111,CK75M2,AN12,700,1200.0,22.96,610,1864,10022,1282N,NaN
96,22G12A291111A,16MNCR5M2,AN11,700,1153.0,23.999,610,1936,10022,1282N,NaN
97,22G12A46111,50CRV4M-R,AN12,700,212.0,1.94,508,1320,10022,1282N,NaN
98,22G12B34111,SAE1070M-R,AN10,725,1184.0,23.18,610,1883,10022,1282S,NaN
99,22G12B491111A,50CRV4M-R,AN11,700,230.0,2.257,508,1360,10022,1282Y,NaN
100,22G12B491111B,50CRV4M-R,AN11,700,230.0,2.257,508,1360,10022,1282Y,NaN
101,22G12B492111A,50CRV4M-R,AN11,700,240.0,2.355,508,1360,10022,1282Y,NaN
102,22G12B492111B,50CRV4M-R,AN11,700,240.0,2.355,508,1360,10022,1282Y,NaN
103,22G12B493111A,50CRV4M-R,AN11,700,255.0,2.503,508,1360,10022,1282Y,NaN
104,22G12B493111B,50CRV4M-R,AN11,700,255.0,2.503,508,1360,10022,1282Y,NaN
105,22G12B494111A,50CRV4M-R,AN11,700,240.0,2.355,508,1360,10022,1282Y,NaN
106,22G12B494111B,50CRV4M-R,AN11,700,240.0,2.355,508,1360,10022,1282Y,NaN
107,22G12B495111A,50CRV4M-R,AN11,700,230.0,2.257,508,1360,10022,1282Y,NaN
108,22G12B495111B,50CRV4M-R,AN11,700,230.0,2.257,508,1360,10022,1282Y,NaN
109,22G12C191111A,C80M,AN11,720,279.0,2.374,508,1280,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
110,22G12C191121A,C80M,AN11,720,279.0,2.33,508,1270,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
111,22G12C191131A,C80M,AN11,720,279.0,2.352,508,1275,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
112,22G12C80111,C80M,AN12,720,300.0,2.366,508,1240,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
113,22G12C80112,C80M,AN12,720,300.0,1.947,508,1145,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
114,22G13010111,SK4M-S,AN11,735,1200.0,20.87,610,1787,10023,1282N,NaN
115,22G13011111,SK4M-S,AN12,735,1200.0,20.76,610,1783,10023,1282N,NaN
116,22G13015111,SK85,AN11,700(표준),1138.0,22.2,610,1880,10023,1282N,HANWA CO / .LTD
117,22G13020111,SK85,AN11,700(표준),1128.0,20.2,610,1810,10023,1282N,HANWA CO / .LTD
118,22G13028111,SK5M-S,AN11,725,1197.0,23.03,610,1869,10023,1282N,(주)화진금속
119,22G13042111,SK4M-S,AN11,735,1200.0,20.72,610,1781,10023,1282N,NaN
120,22G13043111,SK4M-S,AN11,735,1200.0,17.87,610,1669,10023,1282N,NaN
121,22G13043112,SK4M-S,AN12,735,1200.0,17.41,610,1651,10023,1282N,NaN
122,22G130465111A,SK5M-S,AN13,725,200.0,2.589,508,1535,10023,1282N,(주)화진금속
123,22G13048111,SK5M-S,AN11,725,1065.0,21.71,610,1918,10023,1282N,(주)화진금속
124,22G130491111A,SK85M-R,AN12,735,443.0,8.552,610,1872,10023,1282N,NaN
125,22G130492111A,SK85M-R,AN12,735,443.0,8.552,610,1872,10023,1282N,NaN
126,22G130493111A,SK85M-R,AN12,735,322.0,6.216,610,1872,10023,1282N,NaN
127,22G13050111,SK5M-R,AN12,700(표준),1128.0,19.97,610,1801,10023,1282N,일진엔티에스(주)
128,22G13053111,SK4M-R,AN12,700(표준),1170.0,14.55,610,1546,10023,1282N,일진엔티에스(주)
129,22G13A121111A,SK85M-S,AN11,735,175.0,1.49,508,1285,10023,1282N,NaN
130,22G13A311111A,SK5M-S,AN11,725,207.0,1.894,508,1320,10023,1282N,(주)화진금속
131,22G13A311121A,SK5M-S,AN11,725,207.0,1.894,508,1320,10023,1282N,(주)화진금속
132,22G13A311131A,SK5M-S,AN11,725,207.0,1.877,508,1315,10023,1282N,(주)화진금속
133,22G13A311151A,SK5M-S,AN11,725,207.0,1.945,508,1335,10023,1282N,(주)화진금속
134,22G13A45111,SK5M-S,AN11,725,242.0,1.453,508,1110,10023,1282N,(주)화진금속
135,22G13A45112,SK5M-S,AN11,725,242.0,1.453,508,1110,10023,1282N,(주)화진금속
136,22G13A54111,SK5M-S,AN12,725,187.0,1.148,508,1120,10023,1282N,(주)화진금속
137,22G13A54112,SK5M-S,AN12,725,187.0,1.11,508,1105,10023,1282N,(주)화진금속
138,22G13B561112A,SK5M-S,AN12,725,398.0,3.61,610,1357,10023,1282N,(주)화진금속
139,22G13C561111A,SK5M-S,AN11,725,1199.0,22.16,610,1836,10023,1282N,(주)화진금속
140,22H11136111,DK800,AN11,작업지시서 소둔 Cycle 적용,1102.0,20.42,610,1838,10021,1282N,한국보그워너티에스
141,22H11136112,DK800,AN11,작업지시서 소둔 Cycle 적용,1102.0,20.38,610,1836,10021,1282N,한국보그워너티에스
142,22H11141111,H800LA,AN11,작업지시서 소둔 Cycle 적용,910.0,18.31,610,1907,10021,1282N,FAURECIA(CHINA) / BROSE CHINA
