,COIL_NO,PRDSPC_ID,PNSPRC_CD,cycle,WDT_LEN,WGT_WGT,IND_CD,OUD_LEN,STL_CD,EMG_CD,고객사
99,22G12A05111,50CRV4M-R,AN11,700,230.0,1412,,1119,10022,1282N,NaN
100,22G12A20111,CK75M2,AN12,700,1200.0,22960,,1864,10022,1282N,NaN
101,22G12A291111A,16MNCR5M2,AN11,700,1153.0,23999,,1936,10022,1282N,NaN
102,22G12A46111,50CRV4M-R,AN12,700,212.0,1940,,1320,10022,1282N,NaN
103,22G12B34111,SAE1070M-R,AN10,725,1184.0,23180,,1883,10022,1282S,NaN
104,22G12B491111A,50CRV4M-R,AN11,700,230.0,2257,,1360,10022,1282Y,NaN
105,22G12B491111B,50CRV4M-R,AN11,700,230.0,2257,,1360,10022,1282Y,NaN
106,22G12B492111A,50CRV4M-R,AN11,700,240.0,2355,,1360,10022,1282Y,NaN
107,22G12B492111B,50CRV4M-R,AN11,700,240.0,2355,,1360,10022,1282Y,NaN
108,22G12B493111A,50CRV4M-R,AN11,700,255.0,2503,,1360,10022,1282Y,NaN
109,22G12B493111B,50CRV4M-R,AN11,700,255.0,2503,,1360,10022,1282Y,NaN
110,22G12B494111A,50CRV4M-R,AN11,700,240.0,2355,,1360,10022,1282Y,NaN
111,22G12B494111B,50CRV4M-R,AN11,700,240.0,2355,,1360,10022,1282Y,NaN
112,22G12B495111A,50CRV4M-R,AN11,700,230.0,2257,,1360,10022,1282Y,NaN
113,22G12B495111B,50CRV4M-R,AN11,700,230.0,2257,,1360,10022,1282Y,NaN
114,22G12C191111A,C80M,AN11,720,279.0,2374,,1280,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
115,22G12C191121A,C80M,AN11,720,279.0,2330,,1270,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
116,22G12C191131A,C80M,AN11,720,279.0,2352,,1275,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
117,22G12C80111,C80M,AN12,720,300.0,2366,,1240,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
118,22G12C80112,C80M,AN12,720,300.0,1947,,1145,10022,1282N,SCHAEFFLER GROUP / HARSHA ENGINEE / LUK / 나라엠앤디 /(주)대유단조
119,22G13010111,SK4M-S,AN11,735,1200.0,20870,,1787,10023,1282N,NaN
120,22G13011111,SK4M-S,AN12,735,1200.0,20760,,1783,10023,1282N,NaN
121,22G13015111,SK85,AN11,700(표준),1138.0,22200,,1880,10023,1282N,HANWA CO / .LTD
122,22G13020111,SK85,AN11,700(표준),1128.0,20200,,1810,10023,1282N,HANWA CO / .LTD
123,22G13028111,SK5M-S,AN11,725,1197.0,23030,,1869,10023,1282N,(주)화진금속
124,22G13042111,SK4M-S,AN11,735,1200.0,20720,,1781,10023,1282N,NaN
125,22G13043111,SK4M-S,AN11,735,1200.0,17870,,1669,10023,1282N,NaN
126,22G13043112,SK4M-S,AN12,735,1200.0,17410,,1651,10023,1282N,NaN
127,22G130465111A,SK5M-S,AN13,725,200.0,2589,,1535,10023,1282N,(주)화진금속
128,22G13048111,SK5M-S,AN11,725,1065.0,21710,,1918,10023,1282N,(주)화진금속
129,22G130491111A,SK85M-R,AN12,735,443.0,8552,,1872,10023,1282N,NaN
130,22G130492111A,SK85M-R,AN12,735,443.0,8552,,1872,10023,1282N,NaN
131,22G130493111A,SK85M-R,AN12,735,322.0,6216,,1872,10023,1282N,NaN
132,22G13050111,SK5M-R,AN12,700(표준),1128.0,19970,,1801,10023,1282N,일진엔티에스(주)
133,22G13053111,SK4M-R,AN12,700(표준),1170.0,14550,,1546,10023,1282N,일진엔티에스(주)
134,22G13A121111A,SK85M-S,AN11,735,175.0,1490,,1285,10023,1282N,NaN
135,22G13A311111A,SK5M-S,AN11,725,207.0,1894,,1320,10023,1282N,(주)화진금속
136,22G13A311121A,SK5M-S,AN11,725,207.0,1894,,1320,10023,1282N,(주)화진금속
137,22G13A311131A,SK5M-S,AN11,725,207.0,1877,,1315,10023,1282N,(주)화진금속
138,22G13A311151A,SK5M-S,AN11,725,207.0,1945,,1335,10023,1282N,(주)화진금속
139,22G13A45111,SK5M-S,AN11,725,242.0,1453,,1110,10023,1282N,(주)화진금속
140,22G13A45112,SK5M-S,AN11,725,242.0,1453,,1110,10023,1282N,(주)화진금속
141,22G13A54111,SK5M-S,AN12,725,187.0,1148,,1120,10023,1282N,(주)화진금속
142,22G13A54112,SK5M-S,AN12,725,187.0,1110,,1105,10023,1282N,(주)화진금속
143,22G13B561112A,SK5M-S,AN12,725,398.0,3610,,1357,10023,1282N,(주)화진금속
144,22G13C561111A,SK5M-S,AN11,725,1199.0,22160,,1836,10023,1282N,(주)화진금속
145,22H11136111,DK800,AN11,작업지시서 소둔 Cycle 적용,1102.0,20420,,1838,10021,1282N,한국보그워너티에스
146,22H11136112,DK800,AN11,작업지시서 소둔 Cycle 적용,1102.0,20380,,1836,10021,1282N,한국보그워너티에스
147,22H11141111,H800LA,AN11,작업지시서 소둔 Cycle 적용,910.0,18310,,1907,10021,1282N,FAURECIA(CHINA) / BROSE CHINA
148,22H11152111,S20CM-S,AN11,620,1284.0,24780,,1871,10021,1282N,NaN
149,22H11153111,S20CM-S,AN11,620,1058.0,20750,,1885,10021,1282N,NaN
150,22H11156111,S20CM-S,AN11,620,1280.0,24920,,1879,10021,1282N,NaN
151,22H11165111,S20CM-R,AN11,620,1058.0,21590,,1919,10021,1282N,NaN
152,22H11165112,S20CM-R,AN11,620,1058.0,21820,,1928,10021,1282N,NaN
153,22H11168111,S20CM-S,AN11,620,1280.0,25180,,1887,10021,1282N,NaN
154,22H11175111,SAE1020,AN11,620,1266.0,25190,,1897,10021,1282N,NaN
155,22H111861111A,S20CM-S,AN11,620,585.0,11730,,1904,10021,1282N,NaN
156,22H111862111A,S20CM-S,AN11,620,586.0,11750,,1904,10021,1282N,NaN
157,22H11187111,DK800,AN11,작업지시서 소둔 Cycle 적용,1102.0,20690,,1849,10021,1282N,한국보그워너티에스
158,22H11187112,DK800,AN11,작업지시서 소둔 Cycle 적용,1102.0,20790,,1852,10021,1282N,한국보그워너티에스
159,22H11188111,DK800,AN11,작업지시서 소둔 Cycle 적용,1102.0,14620,,1589,10021,1282N,한국보그워너티에스
160,22H111891111A,S20CM-R,AN11,620,480.0,9600,,1902,10021,1282N,NaN
161,22H111892111A,S20CM-R,AN11,620,462.0,9240,,1902,10021,1282N,NaN
162,22H11196111,S20CM-S,AN11,620,1150.0,22280,,1875,10021,1282N,NaN
163,22H111971111A,S20CM-S,AN11,620,285.0,4440,,1669,10021,1282N,NaN
164,22H111972111A,S20CM-S,AN11,620,285.0,4440,,1669,10021,1282N,NaN
165,22H111973111A,S20CM-S,AN11,620,285.0,4440,,1669,10021,1282N,NaN
166,22H111974111A,S20CM-S,AN11,620,285.0,4440,,1669,10021,1282N,NaN
167,22H11199111,H800LA,AN11,작업지시서 소둔 Cycle 적용,940.0,18950,,1908,10021,1282N,FAURECIA(CHINA) / BROSE CHINA
168,22H11200111,H800LA,AN11,작업지시서 소둔 Cycle 적용,910.0,16480,,1819,10021,1282N,FAURECIA(CHINA) / BROSE CHINA
169,22H11208111,H800LA,AN11,작업지시서 소둔 Cycle 적용,1180.0,22810,,1873,10021,1282N,FAURECIA(CHINA) / BROSE CHINA
170,22H11A09111,S20CM-R,AN11,620,194.0,1775,,1320,10021,1282N,NaN
171,22H11A09112,S20CM-R,AN11,620,194.0,1650,,1279,10021,1282N,NaN
172,22H11A111111A,SPCC-1BP,AN11,620,208.0,1853,,1305,10021,1282N,NaN
173,22H11A111121A,SPCC-1BP,AN11,620,208.0,1803,,1290,10021,1282N,NaN
174,22H11A111131A,SPCC-1BP,AN11,620,208.0,1577,,1220,10021,1282N,NaN
175,22H11A111141A,SPCC-1BP,AN11,620,208.0,1886,,1315,10021,1282N,NaN
176,22H11A111151A,SPCC-1BP,AN11,620,208.0,1803,,1290,10021,1282N,NaN
177,22H11A111161A,SPCC-1BP,AN11,620,208.0,1886,,1315,10021,1282N,NaN
178,22H11A111171A,SPCC-1BP,AN11,620,208.0,1869,,1310,10021,1282N,NaN
179,22H11A111181A,SPCC-1BP,AN11,620,208.0,1886,,1315,10021,1282N,NaN
180,22H11A111191A,SPCC-1BP,AN11,620,208.0,1869,,1310,10021,1282N,NaN
181,22H11A24113,SAE1010H,AN11,620,264.7,1395,,1055,10021,1282N,NaN
182,22H11A40111,SPCC-2B,AN11,620,234.0,2103,,1310,10021,1282N,NaN
183,22H11A431111A,S20CM-R,AN11,620,380.0,5620,,1664,10021,1282N,NaN
184,22H11A56111,S15CM-S,AN11,620,190.0,1848,,1355,10021,1282N,NaN
185,22H11A56112,S15CM-S,AN11,620,190.0,1832,,1350,10021,1282N,NaN
186,22H11A61113,S20CM-R,AN11,620,184.0,1683,,1319,10021,1282N,NaN
187,22H11A61114,S20CM-R,AN11,620,184.0,1639,,1305,10021,1282N,NaN
